id,section,question,options,correct_index,source
1,Derecho Aéreo y Regulaciones Aeronáuticas,"La seguridad operacional en el espacio aéreo y la seguridad de las personas en tierra y su privacidad, son aspectos relevantes que se tienen en cuenta para el establecimiento de las Normas para aeronaves no tripuladas a nivel mundial. Este postulado es:","[""Verdadero"", ""Falso""]",0,"RAC 100 – Sección ""Considerando"""
2,Derecho Aéreo y Regulaciones Aeronáuticas,¿Qué requisitos son básicos y se requiere cumplir para volar un UAS en el espacio aéreo de un país?,"[""Ningún permiso ni licencia, ya que son no tripulados."", ""Un registro del UAS y el cumplimiento de las regulaciones específicas."", ""Sólo se pueden operar en áreas deshabitadas, sin regulaciones adicionales.""]",1,"RAC 100 – Sección ""Considerando"""
3,Derecho Aéreo y Regulaciones Aeronáuticas,¿Cuál es uno de los propósitos principales de las regulaciones de UAS?,"[""Restringir el acceso público a la tecnología de UAS."", ""Garantizar la seguridad de las operaciones y proteger la integridad del espacio aéreo."", ""Facilitar la adquisición de UAS por parte de particulares sin restricciones.""]",1,"RAC 100 – Sección ""Considerando"""
4,Derecho Aéreo y Regulaciones Aeronáuticas,¿Cuál es la sigla del Organismo de Autoridad de la Aviación Civil a nivel mundial?,"[""FAA"", ""EASA"", ""OACI""]",2,OACI – referencia Cancillería
5,Derecho Aéreo y Regulaciones Aeronáuticas,¿Cuál es la sigla del Organismo de Autoridad de la Aviación Civil en Colombia?,"[""AAAE"", ""UAEAC"", ""CIAC""]",1,Aerocivil – institucional
6,Derecho Aéreo y Regulaciones Aeronáuticas,La normatividad aeronáutica válida en Colombia se encuentra compilada en:,"[""NAN – Normatividad Aeronáutica Nacional."", ""RAC – Reglamentos Aeronáuticos de Colombia."", ""LAR – Reglamentos Aeronáuticos Latinoamericanos.""]",1,RAC 11 – 11.005
7,Derecho Aéreo y Regulaciones Aeronáuticas,¿Cuál de las siguientes normas aplicables en Colombia regulan la actividad aérea con aeronaves no tripuladas?,"[""RAC 100"", ""RAC 61"", ""Parte 101 y 102 de la OACI""]",0,RAC 100
8,Derecho Aéreo y Regulaciones Aeronáuticas,¿Cuál es el objetivo principal del marco normativo de la aviación mundial?,"[""Lograr y conservar el nivel uniforme de seguridad operacional más elevado posible.""]",0,Circular 328/AN190 OACI; RAC 100 Art. 100.210(e)
9,Derecho Aéreo y Regulaciones Aeronáuticas,"El Objetivo del marco normativo emitido por la OACI en sus 19 Anexos, radica específicamente en dar pautas de la reglamentación internacional aplicable a los estados signatarios, los cuales tienen que cumplir de forma obligatoria al pie de la letra. Este postulado es:","[""Verdadero"", ""Falso""]",1,OACI SARPs – notificación de diferencias
10,Derecho Aéreo y Regulaciones Aeronáuticas,¿Cuál es el objetivo general y principal de los RAC?,"[""Dar pautas para el desarrollo de toda la aviación en Colombia."", ""Regular la actividad aérea civil en el país y proporcionar una base sólida y legal en las actuaciones administrativas y operativas propias de la aviación.""]",1,RAC 1 Art. 1.1.3
11,Derecho Aéreo y Regulaciones Aeronáuticas,¿Qué se entiende por la Sigla SARP’s?,"[""Recopilación de Procedimientos, Normas y Métodos Ordenados para la Aviación Civil Internacional."", ""Énfasis para la aplicación de Procedimientos, Normas y Métodos Asistidos para la Aviación Civil."", ""Estudio de Procedimientos y Redacción de Normas y Métodos Recomendados para la Aviación Civil Internacional.""]",2,RAC 100 – 100.005 Definiciones
12,Derecho Aéreo y Regulaciones Aeronáuticas,¿Cuál es la relación entre las SARP´s de la OACI y las regulaciones nacionales de aviación?,"[""Las SARP’s reemplazan por completo las regulaciones nacionales."", ""Las SARP’s son recomendaciones y los estados pueden adoptarlas de manera voluntaria."", ""Las SARP’s se aplican sólo a las aeronaves militares.""]",1,Skybrary SARPs (citado en el banco)
13,Derecho Aéreo y Regulaciones Aeronáuticas,"La Reglamentación Aeronáutica Colombiana (RAC-100) se realizó en concordancia con los SARP’s emitidos por la OACI, y está determinada para mantenimiento y preservación de la seguridad operacional con los más altos estándares. Este postulado es:","[""Verdadero"", ""Falso""]",0,RAC 91 – defs/abrevs (contexto banco)
14,Derecho Aéreo y Regulaciones Aeronáuticas,¿Cuál de las siguientes legislaciones colombianas no requiere ser observada para el desarrollo de la Aviación No Tripulada en el país?,"[""Código Nacional de Policía y Convivencia: Ley 1801/2016."", ""Código Nacional de Tránsito: Ley 769 de 2002."", ""Código de Comercio de Colombia: Decreto 410/1971.""]",1,Contexto general del banco
15,Derecho Aéreo y Regulaciones Aeronáuticas,"El uso indebido o irresponsable de aeronaves no tripuladas, podrá ser sancionado únicamente por la Autoridad Aeronáutica competente. Este postulado es:","[""Verdadero"", ""Falso""]",1,RAC 13; Ley 1801/2016
16,Derecho Aéreo y Regulaciones Aeronáuticas,"¿Qué aspecto importante relacionado con la aviación, debemos conocer sobre el Código del Comercio?","[""Los detalles de cómo regular nuestra actividad económica."", ""Las cauciones que se deben formalizar para la actividad aérea comercial con aeronaves de peso inferior a 1000 kilogramos."", ""Los deberes y Obligaciones contractuales como Explotador UAS.""]",1,Código de Comercio (Decreto 410/1971) Arts. 1827 y 1835
17,Derecho Aéreo y Regulaciones Aeronáuticas,El Código del Comercio indica que solamente aeronaves con peso superior a 1000 kg deben constituir una caución...,"[""Verdadero"", ""Falso""]",1,Código de Comercio (Decreto 410/1971) Arts. 1827 y 1835
18,Derecho Aéreo y Regulaciones Aeronáuticas,"El Código del Comercio determina que para aeronaves con peso máximo hasta de 1000 kg, se debe establecer una caución equivalente a:","[""30.300 kilogramos de oro puro."", ""33.333 gramos de oro puro."", ""33.333 libras de oro puro.""]",1,Código de Comercio (Decreto 410/1971) Arts. 1827 y 1835
19,Derecho Aéreo y Regulaciones Aeronáuticas,"En el proceso de autorización de solicitudes de vuelo UAS, la Aerocivil acepta pólizas RCE de aseguradoras internacionales por periodos inferiores a un año. Este postulado es:","[""Verdadero"", ""Falso""]",0,Circular Informativa UAEAC 4000-09-11 de 2022
20,Derecho Aéreo y Regulaciones Aeronáuticas,"¿Qué condiciones o alcances debe tener una póliza internacional, para que sea aceptada por la Aerocivil?","[""Debe indicar claramente que tiene cobertura en todo el territorio colombiano y que el beneficiario con la cobertura sea el mismo Explotador UAS inscrito."", ""Indiquen las Horas y días de la cobertura.""]",0,Circular Informativa UAEAC 4000-09-11 de 2022
21,Derecho Aéreo y Regulaciones Aeronáuticas,Para vuelos realizados con aeronaves no tripuladas en la categoría “abierta” la Aerocivil ordena póliza RCE obligatoria. Este postulado es:,"[""Verdadero"", ""Falso""]",1,RAC 100 Art. 100.205
22,Derecho Aéreo y Regulaciones Aeronáuticas,Las autoridades competentes podrán suspender e incautar una aeronave no tripulada cuando se estén infringiendo normas legales. Este postulado es:,"[""Verdadero"", ""Falso""]",0,Ley 1801/2016 (Arts. 146 y 149)
23,Derecho Aéreo y Regulaciones Aeronáuticas,¿Cuál de las siguientes opciones es la más acertada en relación con la privacidad al operar un UAS?,"[""No existe ninguna consideración de privacidad."", ""Debe obtenerse consentimiento por escrito de todas las personas cercanas."", ""Respetar la privacidad de las personas y evitar la vigilancia no autorizada.""]",2,Ley 1801/2016 Art. 32
24,Derecho Aéreo y Regulaciones Aeronáuticas,Un piloto de UAS que realice vuelos AID en sitio de desastre debe ostentar la capacitación requerida. Este postulado es:,"[""Verdadero"", ""Falso""]",0,Ley 1523/2012 Arts. 4 y 8
25,Derecho Aéreo y Regulaciones Aeronáuticas,¿Qué es el PMU?,"[""Puesto de Mando Unificado. Hace referencia al lugar físico donde se concentra e implementa la coordinación para asuntos operacionales de un determinado incidente o evento."", ""Es la jerarquía de organismos estatales convocados para coordinar un incidente.""]",0,RAC 100 – 100.005 Definiciones
26,Derecho Aéreo y Regulaciones Aeronáuticas,"De acuerdo con la Ley 356/1994, toda empresa de vigilancia que realice actividades con UAS requiere:","[""Pedir permiso de operación aérea a la Superintendencia de seguridad y vigilancia privada."", ""Tener un permiso de la Superintendencia de seguridad y vigilancia privada para el empleo de facilidades tecnológicas aprobadas."", ""Que el gerente General haya realizado un curso de operación de UAS.""]",1,Ley 356/1994 Art. 5
27,Derecho Aéreo y Regulaciones Aeronáuticas,Una empresa de seguridad y vigilancia privada que emplee UAS debe tener permiso expedido por la Superintendencia. Este postulado es:,"[""Verdadero"", ""Falso""]",0,Ley 356/1994 Art. 52
28,Derecho Aéreo y Regulaciones Aeronáuticas,A los pilotos UAS que violen o incumplan normas establecidas en los RAC les aplica el RAC 13. Este postulado es:,"[""Verdadero"", ""Falso""]",0,RAC 100 C–100.235; RAC 13
29,Derecho Aéreo y Regulaciones Aeronáuticas,¿Qué significa la Sigla “OACI”?,"[""Organización Internacional de Aviación Civil."", ""Conglomerado de las Naciones para la Aviación Civil."", ""Convención de Aviación Civil Internacional.""]",0,Cancillería – OACI
30,Derecho Aéreo y Regulaciones Aeronáuticas,La OACI tiene potestad sobre los Estados miembros para realizar acciones punitivas por incumplimiento a las normas. Este postulado es:,"[""Verdadero"", ""Falso""]",1,Convenio de Chicago Doc 7300/9 Art. 38
31,Derecho Aéreo y Regulaciones Aeronáuticas,"De acuerdo al RAC 91, es adecuado emplear alcohol y alucinógenos en actividades de vuelo. Este postulado es:","[""Verdadero"", ""Falso""]",1,ANEXO 2 OACI; RAC 91
32,Derecho Aéreo y Regulaciones Aeronáuticas,"En una aeronave no tripulada, no es permitido realizar modificaciones de diseño que afecten centro de gravedad o características de vuelo sin permiso del fabricante. Este postulado es:","[""Verdadero"", ""Falso""]",0,RAC 100.415
33,Derecho Aéreo y Regulaciones Aeronáuticas,Los documentos OACI Partes 101 y 102 (2020) sugieren modelo regulatorio para UAS (Categoría abierta y específica). Este postulado es:,"[""Verdadero"", ""Falso""]",0,OACI Partes 101/102 (2020)
34,Derecho Aéreo y Regulaciones Aeronáuticas,¿Qué significa la sigla UAEAC?,"[""Agencia Administrativa Estatal de Aerodinámica Civil"", ""Unidad Administrativa Especial de Aeronáutica Civil."", ""Ninguna de las anteriores.""]",1,Aerocivil – guía institucional
35,Derecho Aéreo y Regulaciones Aeronáuticas,¿Cuál de las siguientes documentos ha publicado la Aerocivil para el control de la Aviación no tripulada?,"[""Circular 008/2014 (Requisitos Generales de Aeronavegabilidad y operaciones para RPAS)."", ""Resolución 02401/2017 (Apéndice 11 RAC 90)."", ""Ninguna de las anteriores.""]",2,Contexto Aerocivil (banco)
36,Derecho Aéreo y Regulaciones Aeronáuticas,¿Qué tipo de sanciones se pueden imponer por incumplimiento de regulaciones UAS?,"[""Multas económicas e incluso acciones legales."", ""Nada, son puramente voluntarias."", ""Pérdida de la licencia para conducirlos.""]",0,RAC 13; Ley 1801
37,Derecho Aéreo y Regulaciones Aeronáuticas,¿Qué RAC indica el régimen sancionatorio?,"[""RAC 91"", ""RAC 13"", ""RAC 141""]",1,RAC 13
38,Derecho Aéreo y Regulaciones Aeronáuticas,¿Cuál de las siguientes opciones constituye una violación expresa de las normas?,"[""Volar en los parámetros de autorización emitidos."", ""Volar desconociendo el espacio aéreo."", ""Extralimitar las restricciones e indicaciones descritas en la autorización de vuelo.""]",2,RAC 100; RAC 13
39,Derecho Aéreo y Regulaciones Aeronáuticas,"De acuerdo con el RAC 13, ¿cuáles son los dos tipos de infracciones aeronáuticas?","[""Infracciones generales e infracciones particulares"", ""Infracciones de orden técnico e infracciones de orden administrativo."", ""Infracciones de la norma y Sanciones del procedimiento""]",0,RAC 13 Art. 13.100
40,Derecho Aéreo y Regulaciones Aeronáuticas,Las sanciones aeronáuticas por acciones/omisiones que atenten contra la seguridad aérea están consideradas como de orden:,"[""De Orden nacional"", ""De Orden Técnico."", ""De Orden Gerencial""]",1,RAC 13 Art. 13.100
41,Derecho Aéreo y Regulaciones Aeronáuticas,La Policía Nacional puede suspender o impedir actividades con UAS o incautar los dispositivos cuando con ellos no se estén violando normas. Este postulado es:,"[""Verdadero"", ""Falso""]",1,Ley 1801/2016 Arts. 146 y 149
42,RAC 100,¿Cuál es el título de la norma RAC 100?,"[""Generalidades de las aeronaves no tripuladas - UAS."", ""Operación de sistemas de aeronaves no tripuladas - UAS."", ""Reglamento de utilización de aeronaves no tripuladas - UAS.""]",1,RAC 100 – Título
43,RAC 100,¿A quiénes aplica la reglamentación de la norma RAC 100?,"[""A toda persona natural o jurídica en el país que realice operaciones con UAS con fines comerciales únicamente..."", ""A aeronaves no tripuladas que realicen operaciones en territorio colombiano; y para cualquier tipo de centro de instrucción que tenga previsto prestar servicios de capacitación y entrenamiento en la operación de UAS."", ""A toda persona natural o jurídica, pública o privada, nacional o extranjera, que planee realizar operaciones con UAS sin ánimo de lucro...""]",1,RAC 100 – 100.001 Aplicación
44,RAC 100,"La norma RAC 100 contiene, entre otros, los requisitos para:","[""Los impuestos legales para los UAS y equipos tecnológicos asociados a ellas."", ""La obtención del certificado de idoneidad como piloto UAS."", ""La obtención del permiso de funcionamiento de un centro de instrucción de UAS.""]",1,RAC 100 – 100.001 Aplicación
45,RAC 100,¿Qué ventaja tiene una UA registrada?,"[""Se puede operar dentro de la legalidad."", ""Son las únicas que pueden volar a 500 ft AGL."", ""Son las únicas que deben cumplir los RAC, en general.""]",0,RAC 100
46,RAC 100,La bitácora de vuelo es un documento donde se lleva el histórico de los vuelos realizados por una persona...,"[""Verdadero"", ""Falso""]",0,RAC 100 – 100.005 Definiciones
47,RAC 100,El certificado de idoneidad de piloto UAS otorga privilegios para operar UAS en la categoría específica.,"[""Verdadero"", ""Falso""]",0,RAC 100 – 100.005 Definiciones
48,RAC 100,"El libro de vuelo y mantenimiento de una UA registra datos, condiciones, reportes de vuelo y trabajos de mantenimiento.","[""Verdadero"", ""Falso""]",0,RAC 100 – 100.005 Definiciones
49,RAC 100,¿Cuál de las siguientes postulaciones hace parte de la definición del observador UA?,"[""Es una persona común... ayuda al piloto UAS en operaciones VLOS."", ""Es una persona capacitada y competente... ayuda al piloto UAS en operaciones VLOS y EVLOS."", ""Es cualquier persona designada por el Explotador UAS para acompañar al piloto.""]",1,RAC 100 – 100.005 Definiciones
50,RAC 100,¿Qué significa la sigla VLOS?,"[""Visual Line of Sight / Visibilidad en linea de vista."", ""Virtual Line of Sight / Visibilidad en línea de vista virtual."", ""Visual Line Operation Safety / Visibilidad en línea de vista de operación segura.""]",0,RAC 100 – 100.005 Definiciones
51,RAC 100,¿Qué significa la sigla BVLOS?,"[""Beyond Virtual Line of Sight / Visibilidad más allá de la línea virtual de vista."", ""Basic Visual Line Operation Safety / Visibilidad en línea básica de operación segura."", ""Beyond Visual Line of Sight / Visibilidad más allá de la línea de vista.""]",2,RAC 100 – 100.005 Definiciones
52,RAC 100,¿Qué significa la sigla EVLOS?,"[""Eventual Visual Line of Sight / Visibilidad en línea de vista eventual."", ""Extended Visual Line of Sight / Visibilidad en línea de vista extendida."", ""Extreme Visual Line Operation Safety / Visibilidad en linea de operación extrema segura.""]",1,RAC 100 – 100.005 Definiciones
53,RAC 100,En condiciones VLOS está permitido el uso de instrumentos para no perder de vista la aeronave.,"[""Verdadero"", ""Falso""]",1,RAC 100 – 100.005 Definiciones
54,RAC 100,La definición de EVLOS indica “operación más allá de la línea de vista sin contacto visual directo con la UA”.,"[""Verdadero"", ""Falso""]",1,RAC 100 – 100.005 Definiciones
55,RAC 100,Un sistema tecnológico de gestión de vuelo UAS integra facilidades tecnológicas y GIS para gestionar la operación en tiempo real.,"[""Verdadero"", ""Falso""]",0,RAC 100 – 100.005 Definiciones
56,RAC 100,El manual de control de mantenimiento (MCM) es el mismo manual del fabricante.,"[""Verdadero"", ""Falso""]",1,RAC 100 – 100.005 Definiciones
57,RAC 100,Se denomina “operador UAS”...,"[""En la norma RAC 100 no se emplea el término “operador UAS”."", ""Persona natural o jurídica que, como explotador, organiza o realiza operaciones UAS según la norma.""]",1,RAC 100 – 100.005 Definiciones
58,RAC 100,¿Qué significa FPV?,"[""Follow Plane View / Seguimiento del plano visual."", ""Facilidad para volar."", ""First Person View / Vista en primera persona.""]",2,RAC 100 – 100.005 Definiciones
59,RAC 100,La sigla ZNVD significa Zona Norte para Vuelo de Drones.,"[""Falso"", ""Verdadero""]",0,RAC 100 – 100.005 Definiciones
60,RAC 100,¿Qué aeronaves deben registrarse en categoría abierta ante la Aerocivil?,"[""Todas aquellas cuyo PMBO sea 250 gramos."", ""Todos aquellos sistemas en los que la aeronave tenga un peso igual o superior a 200 gramos."", ""Sólo aeronaves usadas en actividades comerciales.""]",1,RAC 100 – 100.105 Registro UA
61,RAC 100,"En contratos de arrendamiento sobre un UAS, la responsabilidad operacional recae sobre el arrendatario (explotador).","[""Verdadero, siempre y cuando el contrato sea puesto en conocimiento de la Aerocivil."", ""Verdadero, sin condiciones."", ""Falso, el propietario siempre responde.""]",0,RAC 100 – 100.105 Registro UA
62,RAC 100,Es obligatorio que toda UA registrada tenga etiqueta de identificación con datos mínimos del propietario/explotador.,"[""Verdadero"", ""Falso""]",0,RAC 100 – 100.110 Identificación UA
63,RAC 100,¿Qué es la categoría “abierta”?,"[""No comerciales con PMBO hasta 15 kg."", ""Comerciales con PMBO hasta 25 kg."", ""No comerciales con PMBO hasta 25 kg.""]",2,RAC 100 – 100.205 Categorías
64,RAC 100,"¿Cuál define mejor la categoría “específica”, según el RAC 100?","[""[Opción distractora]"", ""[La opción correcta corresponde a la definición de específica en el capítulo 100.205]""]",1,RAC 100 – 100.205 Categorías
65,RAC 100,La categoría certificada corresponde a operaciones RPAS similares a la aviación tripulada.,"[""Verdadero"", ""Falso""]",0,RAC 100 – 100.205 Categorías
66,RAC 100,"Planear la operación, conocer espacios aéreos, operar responsablemente y dentro de límites del fabricante son responsabilidades de operador UA / piloto UAS.","[""Verdadero"", ""Falso""]",0,RAC 100 – 100.210 Responsabilidades
67,RAC 100,Distancia horizontal máxima para VLOS:,"[""500 mts."", ""750 mts."", ""500 ft.""]",1,RAC 100 – 100.215 Tipos de contacto visual
68,RAC 100,El RAC 100 permite operaciones por encima de la primera capa de nubes en categoría abierta si están a menos de 500 ft.,"[""Falso"", ""Verdadero""]",0,RAC 100 – 100.215 Tipos de contacto visual
69,RAC 100,Para EVLOS el número de observadores UAS se limita a uno por operación.,"[""Falso"", ""Verdadero""]",0,RAC 100 – 100.215 Tipos de contacto visual
70,RAC 100,Vuelo nocturno en categoría específica lo puede realizar cualquier piloto con curso básico aprobado.,"[""Verdadero"", ""Falso""]",1,RAC 100 – 100.220 Vuelos especiales
71,RAC 100,Condiciones a cumplir al volar en zona urbana (selección múltiple): 1) 30 m a personas ajenas; 2) máx 400 ft; 3) sólo VLOS.,"[""Sólo 3"", ""Los numerales 1 y 3 son correctos"", ""Los numerales 1, 2 y 3 son correctos""]",2,RAC 100 – 100.220 Vuelos especiales
72,RAC 100,¿Cuáles son Vuelos Especiales según el RAC 100?,"[""Vuelo acrobático, en zona rural, automático, para demostraciones y bajo techo."", ""Vuelo pesado, urbano, acrobático, bajo techo y de paisajismo.""]",0,RAC 100 – 100.220 Vuelos especiales
73,RAC 100,"Para inspección operacional, ¿basta sólo con certificado de inscripción de la UA y copia del libro de vuelo y mantenimiento?","[""Verdadero."", ""Falso.""]",1,RAC 100 – 100.225 Inspección Operacional
74,RAC 100,Sustancias psicoactivas: no se podrá operar UA bajo su influencia o dentro de 36 horas siguientes a su consumo.,"[""Verdadero."", ""Falso.""]",0,RAC 100 – 100.230 Sustancias Psicoactivas
75,RAC 100,Falsificaciones o alteraciones: la Aerocivil puede 1) suspender/revocar certificados o negar solicitudes; 2) iniciar actos sancionatorios (RAC 13).,"[""Las dos opciones son correctas."", ""Sólo 1"", ""Sólo 2""]",0,RAC 100 – 100.235 Régimen sancionatorio
76,RAC 100,"En caso de lesión a persona por operación UA, el explotador está obligado a reportar a la autoridad de investigación de accidentes.","[""Sí, es completamente obligatorio."", ""No es obligatorio."", ""Sólo si se requiere para la póliza.""]",0,RAC 100 – 100.240 Reporte de accidentes/incidentes
77,RAC 100,La categoría abierta no tiene especificaciones y reglas de operación en el RAC 100.,"[""Verdadero."", ""Falso.""]",1,RAC 100 – Capítulo D Reglas de Operación Abierta
78,RAC 100,Condiciones específicas de operación con UAS en Colombia (cat. abierta y específica):,"[""Altura máx 400 ft., VLOS 750 m, VMC, separación mín 30 m, consulta de espacios aéreos."", ""Altura máx 400 m, VLOS 500 ft, IMC, sep mín 300 m, consulta meteo."", ""No se exigen condiciones.""]",0,RAC 100 – 100.310 Condiciones de operación (Abierta)
79,RAC 100,Restricciones categoría abierta — ¿cuáles son restricciones?,"[""1,2 y 3"", ""3,4 y 5"", ""1,2 y 5 (Volar en zonas restringidas/ZNVD/BVLOS; actividades de transporte/comerciales; cercanía a Presidente, unidades militares y aeródromos)""]",2,RAC 100 – 100.315 Restricciones (Abierta)
80,RAC 100,Conocimientos mínimos requeridos para un operador UA (categoría abierta):,"[""Manual de operación del fabricante, conocimiento de las UA y conciencia situacional."", ""Sólo conocer botones y palancas del control remoto.""]",0,RAC 100 – 100.325 Conocimientos mínimos
81,RAC 100,Ámbito de aplicación de la categoría específica:,"[""Que la operación sea hobby/recreación/deporte."", ""Que la operación sea con fines comerciales y exceda condiciones/limitaciones de la abierta."", ""Cualquiera por preferencia del piloto.""]",1,RAC 100 – 100.400 Ámbito categoría específica
82,RAC 100,Las operaciones de vigilancia y seguridad privada con UAS pueden hacerse en categoría abierta por cualquiera sin ánimo de lucro.,"[""Verdadero."", ""Falso.""]",1,RAC 100 – 100.405 Tipos de operación en específica
83,RAC 100,Las actividades de instrucción de los CIAC no requieren cumplir los formalismos de la categoría específica.,"[""Verdadero."", ""Falso.""]",1,RAC 100 – 100.405 Tipos de operación en específica
84,RAC 100,Condiciones de operación en categoría específica: requisito indispensable,"[""Contar con un Certificado de Explotador UAS expedido por la Aerocivil."", ""No haber inscrito ante la Aerocivil los equipos especiales."", ""No es necesaria póliza RCE.""]",0,RAC 100 – 100.410 Condiciones de operación específica
85,RAC 100,Para operar en categoría específica se requiere:,"[""Manual de operaciones y del fabricante opcional."", ""Análisis de riesgos SMS voluntario."", ""Obtener las autorizaciones de vuelo correspondientes.""]",2,RAC 100 – 100.410 Condiciones de operación específica
86,RAC 100,¿Se pueden hacer modificaciones estructurales a una UA para brindar mejor servicio?,"[""Falso, nunca se puede."", ""Verdadero, con autorización Aerocivil."", ""Verdadero, sólo si lo aprueba el fabricante.""]",2,RAC 100 – 100.415 Condiciones técnicas específica
87,RAC 100,"Si falla el piloto automático de la UA en vuelo, ¿qué se debe hacer?","[""Suspender la operación aérea para no incurrir en accidente/incidente."", ""Deshabilitar piloto automático y continuar en manual."", ""Terminar rápido el trabajo.""]",0,RAC 100 – 100.415 Condiciones técnicas específica
88,RAC 100,Las acciones de mitigación por pérdida del enlace C2 deben enfocarse en minimizar daños y constar en el MO.,"[""Verdadero"", ""Falso""]",0,RAC 100 – 100.420 Enlace C2
89,RAC 100,"Para aspirar operaciones de aspersión/dispersión con UAS de 60 kg PMBO en predio propio, el piloto debe:","[""Pedir permiso a la Aerocivil para ejecutar los vuelos."", ""Contar con certificado de idoneidad y adiciones correspondientes."", ""Contar con matriz de análisis y mitigación de riesgos.""]",1,RAC 100 – 100.430 Aspersión/Dispersión
90,RAC 100,En aspersión agrícola en predio propio con UAS de 60 kg PMBO siempre se debe solicitar permiso a la Aerocivil.,"[""Falso."", ""Verdadero.""]",0,RAC 100 – 100.430 Aspersión/Dispersión
91,RAC 100,Requisito clave para operaciones en enjambre:,"[""Ser ingeniero de sistemas en el software del enjambre."", ""Contar con una adición en el certificado de idoneidad que soporte habilidades y competencias."", ""Poseer un sistema de protección especial anti desplome.""]",1,RAC 100 – 100.435 Operación en enjambre
92,RAC 100,“Drone delivery” es:,"[""Una operación especial de topografía."", ""Una operación de transporte y entrega de pequeñas cargas."", ""Una operación de transporte de personas.""]",1,RAC 100 – 100.440 Transporte de carga
93,RAC 100,"Para “drone delivery”, el personal de manipulación de carga debe tener capacitación certificada en mercancías peligrosas.","[""Verdadero"", ""Falso""]",0,RAC 100 – 100.440 Transporte de carga
94,RAC 100,El explotador UAS debe demostrar capacitación del fabricante del UAS al personal designado para “drone delivery”.,"[""Verdadero"", ""Falso""]",0,RAC 100 – 100.440 Transporte de carga
95,RAC 100,"Para considerar una operación como BVLOS, el límite a exceder es:","[""Superar 3 km o antes si se pierde línea directa de vista."", ""Superar 1.5 km."", ""Sólo contar con sistema de administración en tiempo real.""]",0,RAC 100 – 100.445 BVLOS
96,RAC 100,"Una operación BVLOS puede llevarse a cabo en cualquier lugar, sin condiciones especiales ni autorización.","[""Verdadero"", ""Falso""]",1,RAC 100 – 100.445 BVLOS
97,RAC 100,Las operaciones BVLOS requieren autorización expresa y un área específica determinada.,"[""Verdadero"", ""Falso""]",0,RAC 100 – 100.445 BVLOS
