id,section,question,options,correct_index,source
98,RAC 100,Condiciones especiales para volar BVLOS (selección múltiple): 1) máx 400 ft y VMC; 2) falta de conciencia situacional; 3) desviación 30 m entre WP; 4) pérdida enlace C2 es normal; 5) telemetría y administración del espacio en tiempo real; 6) monitorización parcial/ esporádica meteo.,"[""1,2,3"", ""4,5,6"", ""1,3,5""]",2,RAC 100 – 100.445 BVLOS
99,RAC 100,El certificado como explotador UAS en categoría específica permite:,"[""Que el explotador tenga autorización para prestar un servicio de aviación civil con UAS."", ""Determinar libremente tarifas."", ""Relacionar sin restricción el número de pilotos.""]",0,RAC 100 – 100.500 Certificación explotador – Ámbito
100,RAC 100,Requisitos para obtener el certificado de explotador UAS:,"[""Registro mercantil válido."", ""Resultado satisfactorio en inspección operacional."", ""Ambas opciones son válidas.""]",2,RAC 100 – 100.505 Requisitos certificación
101,RAC 100,Plazo para reportar cambios en la información de registro del explotador UAS:,"[""Mínimo semestral."", ""Dentro de los 15 días siguientes al cambio."", ""Sólo registro inicial.""]",1,RAC 100 – 100.505 Requisitos certificación
102,RAC 100,"Mantener al día el libro de vuelo y mantenimiento de cada UA, así como emitir y mantener actualizado el Manual de Operación (MO), hacen parte integral de las responsabilidades del Explotador UAS certificado. Este postulado es:","[""Verdadero."", ""Falso.""]",0,RAC 100 – 100.510 Responsabilidades del Explotador UAS certificado
103,RAC 100,No es necesario que el explotador UAS certifique el tiempo de vuelo acumulado a cada piloto UAS que trabaje en la empresa. Este postulado es:,"[""Verdadero."", ""Falso.""]",1,RAC 100 – 100.510 Responsabilidades del Explotador UAS certificado
104,RAC 100,Es responsabilidad de cada uno de los pilotos UAS mantener sus competencias de entrenamiento para cumplir con los diferentes tipos de operación de la empresa. Este postulado es:,"[""Verdadero."", ""Falso.""]",0,RAC 100 – 100.510 Responsabilidades del Explotador UAS certificado
105,RAC 100,¿Cuáles son parámetros que podrían llevar a suspensión/cancelación de un certificado de explotador UAS?,"[""1-El incumplimiento de requisitos establecidos. 2-Operaciones que pongan en riesgo la seguridad. 3-Incapacidad técnica de mantenimiento. 4-Abandono de la actividad por >1 año."", ""Sólo 1 y 4."", ""Sólo 2 y 3."", ""Todos los numerales son correctos.""]",3,RAC 100 – 100.515 Suspensión y cancelación del certificado
106,RAC 100,Un explotador UAS con tres (3) o más UAS debe registrar y designar ante la Aerocivil:,"[""Jefe de Mantenimiento de UA y Gerente de Proyectos."", ""Jefe de Pilotos UA y Gerente de Seguridad Operacional."", ""Secretaría UAS y Gerente de Seguridad de “Vertipuertos”.""]",1,RAC 100 – 100.520 Cargos requeridos
107,RAC 100,¿Cuál afirmación NO corresponde a la experiencia requerida del Jefe de Pilotos?,"[""Contar con capacitación como piloto UAS en al menos una de las operaciones autorizadas al explotador UAS."", ""Contar con experiencia administrativa de ≥100 horas de trámites de vuelo UAS."", ""Contar con capacitación certificada por CIAC, ≥40 horas, en SMS.""]",0,RAC 100 – 100.520 Cargos requeridos
108,RAC 100,El aseguramiento de la adecuada asignación y utilización de cada UA y de cada piloto UAS de acuerdo con competencias requeridas es función del Jefe de Pilotos. Este postulado es:,"[""Verdadero."", ""Falso.""]",0,RAC 100 – 100.520 Cargos requeridos
109,RAC 100,Monitorear los estándares operativos y la eficiencia de cada piloto UAS designado es función del Gerente de Seguridad Operacional. Este postulado es:,"[""Verdadero."", ""Falso.""]",1,RAC 100 – 100.520 Cargos requeridos
110,RAC 100,"De las siguientes cualificaciones del Gerente de Seguridad Operacional, ¿Cuál es la correcta?","[""Curso básico en Sistema de Gestión de Calidad por ICONTEC (≥40 h)."", ""Tener formación acreditada en áreas del sector aeronáutico."", ""Experiencia administrativa contable acreditada.""]",1,RAC 100 – 100.520 Cargos requeridos
111,RAC 100,La responsabilidad de la identificación de peligros y la gestión de riesgos en la operación UAS es función del Jefe de Pilotos. Este postulado es:,"[""Verdadero."", ""Falso.""]",1,RAC 100 – 100.520 Cargos requeridos
112,RAC 100,Monitorear que se lleven a cabo las acciones correctivas (planes de acción) de un Explotador UAS es función del Gerente de Seguridad Operacional. Este postulado es:,"[""Verdadero."", ""Falso.""]",0,RAC 100 – 100.520 Cargos requeridos
113,RAC 100,Documento expedido por la Aerocivil que permite a los pilotos UA operar en categoría específica:,"[""Licencia de piloto a distancia."", ""Certificado de idoneidad de piloto UAS."", ""Licencia de operación de UAS.""]",1,RAC 100 – Capítulo G Certificación de idoneidad
114,RAC 100,¿Cuál requisito aplica para solicitar un certificado de idoneidad de piloto UAS?,"[""Haber culminado estudios de básica secundaria."", ""Haber culminado el curso básico de piloto UAS en un CIAC aprobado por la Aerocivil."", ""Pagar un OVA para reforzar conocimientos.""]",1,RAC 100 – 100.610 Requisitos para la obtención del certificado
115,RAC 100,Requisito para poder volar una UA en categoría específica:,"[""Contar con un certificado de idoneidad como piloto UAS expedido por la Aerocivil."", ""Contar con UA sin registro."", ""No se requiere póliza RCE.""]",0,RAC 100 – 100.605 Certificado de idoneidad
116,RAC 100,El certificado de idoneidad obtenido por una persona podrá ser transferido a otra por solicitud de un explotador UAS. Este postulado es:,"[""Verdadero."", ""Falso.""]",1,RAC 100 – 100.605 Certificado de idoneidad
117,RAC 100,Certificado médico exigido para optar al certificado de idoneidad (según el banco):,"[""Médico Ocupacional: Vigencia 2 años; optometría, audiometría, tensión, neurología, psicología e integridad de extremidades inferiores."", ""Médico Ocupacional: Vigencia 1 año; optometría, audiometría, lenguaje verbal e integridad de extremidades superiores."", ""Médico Aeronáutico: Vigencia 3 años; optometría, audiometría, oftalmología, neurología, psicología y CI.""]",0,RAC 100 – 100.610 Requisitos
118,RAC 100,"Estructura académica del curso de piloto UAS incluye, entre otras:","[""1-Aerodinámica aplicada; 2-Despacho de aeronaves; 3-Regulaciones aeronáuticas; 4-Peso y balance; 5-Meteorología; 6-Navegación; 7-Asistente en vuelo."", ""Los numerales 1, 3, 5 y 6 son correctos."", ""Todos los numerales son correctos.""]",1,RAC 100 – 100.620 Contenido mínimo del curso
119,RAC 100,"Para planificación del vuelo, se requiere uso práctico de GIS. Este postulado es:","[""Verdadero."", ""Falso.""]",0,RAC 100 – 100.620 Contenido mínimo del curso
120,RAC 100,"Actividades como dispersión, aspersión e instrucción de vuelo UAS son adiciones al certificado de idoneidad. Este postulado es:","[""Verdadero."", ""Falso.""]",0,RAC 100 – 100.625 Adiciones al certificado
121,RAC 100,Para optar por adiciones al certificado de idoneidad de piloto UAS se requiere:,"[""Ser titular de aeronave que requiera la adición; demostrar horas de práctica; pago de compensación."", ""Ser titular de certificado de idoneidad como piloto UAS; capacitación teórica y práctica relacionada; pago de derechos."", ""No hay requisitos, basta solicitud a DSNA.""]",1,RAC 100 – 100.630 Requisitos para adiciones
122,RAC 100,Los requisitos generales para obtener una adición al certificado de idoneidad se solicitan a:,"[""Dirección de Servicios de Navegación Aérea."", ""A la Aerocivil según procedimiento del Capítulo G."", ""No tienen requisitos generales.""]",1,RAC 100 – 100.625/630 Adiciones
123,RAC 100,Causales de suspensión/cancelación de un certificado de idoneidad o adiciones:,"[""1-A solicitud del interesado; 2-Si el titular no reúne los requisitos; 3-Como sanción por infracción RAC; 4-Suspensión provisional por riesgo inminente en flagrancia."", ""Sólo 2 y 3."", ""Sólo 1 y 4."", ""Todos los numerales son correctos.""]",3,RAC 100 – 100.635 Suspensión/cancelación
124,RAC 100,El SMS es de cumplimiento opcional para los explotadores UAS. Este postulado es:,"[""Verdadero."", ""Falso.""]",1,RAC 100 – 100.700 Marco SMS
125,RAC 100,El SMS es de obligatorio cumplimiento y requisito para obtener el certificado como explotador UAS. Este postulado es:,"[""Verdadero."", ""Falso.""]",0,RAC 100 – 100.700 Marco SMS
126,RAC 100,Tres documentos requeridos para autorización de vuelo en categoría específica:,"[""Formato de solicitud de vuelo, matriz SMS y póliza."", ""Manual de operaciones, factura de compra, manual del fabricante."", ""Todas las opciones son correctas.""]",0,Circular Reglamentaria XXX – Numeral 7.5
127,RAC 100,Es requisito fundamental para tramitar el certificado de explotador UAS contar con el MO aprobado por la Aerocivil. Este postulado es:,"[""Verdadero."", ""Falso.""]",0,Circular Reglamentaria XXX – Numeral 7.6
128,RAC 100,Documentos mínimos para solicitar certificado de idoneidad como piloto UAS:,"[""1-Certificado curso básico en CIAC; 2-Registro civil; 3-Documento de identificación; 4-Declaración de renta; 5-Constancia OVA; 6-Aprobación examen teórico; 7-Licencia de conducción; 8-Certificado médico ocupacional vigente."", ""Los numerales 1, 3, 5, 6 y 8 son requeridos."", ""Los numerales 2, 4, 5 y 7 no son requeridos."", ""Todos los numerales son requeridos.""]",1,Circular Reglamentaria XXX – Numeral 7.1
129,RAC 100,"Documentos mínimos para solicitud de registro de una UA (factura, declaración de importación, paz y salvo DIAN, fotos, ID propietario). Este postulado es:","[""Verdadero."", ""Falso.""]",1,Circular Reglamentaria XXX – Numeral 7.2
130,RAC 100,Procedimiento para informar cesión de dominio de un UAS de propietario a explotador UAS:,"[""Carta al Grupo Drones y Movilidad Urbana Aérea firmada por propietario del registro."", ""Tramitar el formato de desuso o solicitud de cambio de propiedad adjuntando documentación solicitada."", ""No se requiere informar.""]",0,Circular Reglamentaria XXX – Numeral 7.2.2
131,RAC 100,"Toda solicitud de autorización de vuelo que involucre espacio aéreo restringido, peligroso o prohibido debe solicitarse a Aerocivil con copia a la FAC. Este postulado es:","[""Verdadero."", ""Falso.""]",0,Circular Reglamentaria XXX – Numeral 7.5
132,RAC 100,Fases para obtener certificación como Explotador UAS (seleccione la correcta):,"[""Solicitud, Aprobación de manuales, Inspección y Certificado."", ""Presolicitud, Evaluación Documental, Solicitud formal, Demostración y Certificado."", ""Presolicitud, Solicitud, Evaluación Documental, Inspección y demostración y Emisión del certificado.""]",2,Circular Reglamentaria XXX – Numeral 7.3
133,RAC 100,Los únicos documentos requeridos para iniciar el proceso de certificación de explotador UAS son la carta de cumplimiento y el MO con SMS. Este postulado es:,"[""Verdadero."", ""Falso.""]",1,Circular Reglamentaria XXX – Numeral 7.3.2
134,RAC 100,Si un vuelo está dentro de una ZNVD se requiere:,"[""Pago de derechos para operar en ZNVD."", ""Autorización escrita de la entidad responsable de la ZNVD."", ""Carta de confidencialidad exclusiva de la Fiscalía.""]",1,Circular Reglamentaria XXX – Numeral 7.5
135,RAC 100,CDM significa:,"[""Toma de decisiones en colaboración."", ""Coordinación de Datos Monitoreados."", ""Compilación de Maniobras integradas.""]",0,Circular Reglamentaria XXX – Numeral 7.5
136,RAC 100,¿Qué significa la sigla MCM?,"[""Maniobras controladas por el manual."", ""Monitoreo de control manual."", ""Manual de control de mantenimiento.""]",2,RAC 100 – 010 Abreviaturas
137,Aerodinámica Básica,La aerodinámica es el estudio del movimiento de las masas de aire y sus efectos en la tierra. Este postulado es:,"[""Verdadero"", ""Falso""]",1,Aerodinámica – Definición (banco)
138,Aerodinámica Básica,"La definición más acertada para ""AERODINÁMICA"" es:","[""El estudio del comportamiento del aire en movimiento al interactuar con un objeto."", ""El estudio de las propiedades químicas de los gases que componen el aire."", ""El movimiento del aire en la tierra.""]",0,Aerodinámica – Definición (banco)
139,Aerodinámica Básica,¿Cuál de las siguientes opciones describe adecuadamente las tres leyes de Newton?,"[""Ley de la inercia, ley de la dinámica y ley de la acción y reacción."", ""Ley de la termodinámica, ley de la física y ley de la presión."", ""Ley del flujo, ley de la estática y ley de la reacción.""]",0,Aerodinámica – Newton (banco)
140,Aerodinámica Básica,Una de las leyes de Newton aplicada a la aerodinámica presente en los UAS es:,"[""Ley de conservación de la energía."", ""Ley de acción y reacción."", ""Ley de la termodinámica.""]",1,Aerodinámica – Newton (banco)
141,Aerodinámica Básica,El teorema de Bernoulli describe que todo cuerpo sumergido en un líquido experimenta una fuerza hacia arriba equivalente al peso del volumen desalojado. Este postulado es:,"[""Verdadero"", ""Falso""]",1,Aerodinámica – Bernoulli vs Arquímedes (banco)
142,Aerodinámica Básica,¿De qué trata el teorema de Bernoulli?,"[""Describe la conservación de la energía relacionando presión y velocidad de un fluido."", ""Describe los cambios de velocidad por temperatura de un fluido."", ""Describe el comportamiento de un objeto con respecto a un fluido.""]",0,Aerodinámica – Bernoulli (banco)
143,Aerodinámica Básica,¿Cuál de los siguientes postulados es verdadero?,"[""A mayor velocidad relativa del aire, mayor presión sobre el plano aerodinámico, por lo tanto mayor sustentación."", ""A mayor velocidad relativa del aire, menor presión sobre el plano aerodinámico, por lo tanto mayor sustentación."", ""A mayor velocidad relativa del aire, menor colchón de aire bajo el plano aerodinámico, por lo tanto mayor sustentación.""]",1,Aerodinámica – Relación velocidad/presión (banco)
144,Aerodinámica Básica,¿Qué es un perfil aerodinámico?,"[""La forma y las características del perfil transversal de una superficie sustentadora."", ""La capacidad de una aeronave para realizar maniobras acrobáticas."", ""La velocidad máxima que puede alcanzar una aeronave.""]",0,Aerodinámica – Perfil (banco)
145,Aerodinámica Básica,La capa de la atmósfera donde se desarrolla principalmente la aviación es:,"[""La mesosfera."", ""La exosfera."", ""La troposfera.""]",2,Aerodinámica – Atmósfera (banco)
146,Aerodinámica Básica,Son los movimientos angulares naturales de una aeronave sobre sus ejes:,"[""Guiñada, torsión y alabeo."", ""Guiñada, alabeo y cabeceo."", ""Guiñada, bamboleo y torsión.""]",1,Aerodinámica – Movimientos (banco)
147,Aerodinámica Básica,¿Qué consideraciones se tienen para el cálculo del PMBO?,"[""Potencia motriz, presión atmosférica y temperatura del aire."", ""Peso potencial de inercia."", ""Variación de la presión por temperatura.""]",0,Aerodinámica – PMBO (banco)
148,Aerodinámica Básica,¿Cuál es la función principal del borde de ataque de un perfil aerodinámico?,"[""Parte del perfil donde se manifiestan los vectores de fuerza."", ""La presión del aire ejerce fuerza de sustentación."", ""Recibe el aire de impacto y lo divide para recorrer el perfil.""]",2,Aerodinámica – Perfil (banco)
149,Aerodinámica Básica,¿Cuál es la principal función que identifica el borde de fuga de un perfil aerodinámico?,"[""Allí la sustentación ejerce su fuerza."", ""Allí cambia la presión del aire."", ""Allí los flujos superior e inferior abandonan el ala.""]",2,Aerodinámica – Perfil (banco)
150,Aerodinámica Básica,¿A qué se denomina cuerda alar o línea de cuerda?,"[""Línea que recorre un perfil por su borde superior."", ""Línea recta que va desde el borde de ataque hasta el borde de fuga."", ""Línea que mide el espesor máximo del perfil.""]",1,Aerodinámica – Cuerda (banco)
151,Aerodinámica Básica,¿Qué es un perfil aerodinámico asimétrico?,"[""Perfil donde extrados e intrados son iguales."", ""Perfil en donde la línea de curvatura media coincide con la cuerda alar."", ""Perfil de medidas iguales entre espesor máximo y cuerda.""]",1,Aerodinámica – Tipos de perfil (banco)
152,Aerodinámica Básica,¿Qué es un perfil aerodinámico simétrico?,"[""Perfil donde el extrados y el intrados son iguales."", ""Perfil que produce sustentación con ángulo de ataque cero."", ""Perfil similar en medidas entre borde de fuga y borde de ataque.""]",0,Aerodinámica – Tipos de perfil (banco)
153,Aerodinámica Básica,¿Cuáles son los vectores de fuerza resultantes que actúan en una aeronave?,"[""Sustentación, peso, empuje y resistencia."", ""Sustentación, elevación, empuje y resistencia."", ""Elevación, gravedad, empuje y potencia.""]",0,Aerodinámica – Fuerzas (banco)
154,Aerodinámica Básica,¿Cómo se describe la fuerza sustentadora (lift)?,"[""La fuerza resultante que principalmente hala a una aeronave hacia arriba."", ""La fuerza que impulsa hacia adelante."", ""La fuerza que se opone al avance.""]",0,Aerodinámica – Lift (banco)
155,Aerodinámica Básica,¿Cómo se describe la resistencia?,"[""La fuerza que mantiene una aeronave en el aire."", ""La dificultad que experimenta el avance de una aeronave."", ""La capacidad de mantenerse en vuelo.""]",1,Aerodinámica – Drag (banco)
156,Aerodinámica Básica,¿Cómo afecta la forma del ala a su aerodinámica?,"[""Determina la velocidad máxima de vuelo."", ""Influye directamente en la sustentación y la resistencia."", ""Determina la altura máxima de servicio.""]",1,Aerodinámica – Alas (banco)
157,Aerodinámica Básica,¿Cuál es la característica del centro de gravedad de un multicóptero?,"[""Que se ubica en cada uno de los motores."", ""Que se ubica cerca del centro geométrico de la aeronave."", ""No tiene CG definido.""]",1,Aerodinámica – CG (banco)
158,Aerodinámica Básica,¿Dónde se debería ubicar el centro de gravedad de un avión?,"[""En el tren de aterrizaje."", ""En la cola del avión."", ""En el centro de presión de las alas.""]",2,Aerodinámica – CG (banco)
159,Aerodinámica Básica,"El CG de una aeronave se expresa en coordenadas del sistema de referencia de la aeronave (longitudinal, lateral, vertical). Este postulado es:","[""Verdadero"", ""Falso""]",0,Aerodinámica – CG (banco)
160,Aerodinámica Básica,¿Qué sucede si el CG está por fuera de los límites establecidos por el fabricante?,"[""Afecta negativamente la capacidad de control y estabilidad de la UA."", ""Facilita vuelos acrobáticos."", ""El sistema no permite el despegue.""]",0,Aerodinámica – CG (banco)
161,Aerodinámica Básica,¿Qué es el ángulo de ataque (AoA)?,"[""Ángulo entre el borde de ataque y la cuerda alar."", ""Ángulo entre la cuerda alar y el viento relativo."", ""Ángulo entre la línea de curvatura media y el viento relativo.""]",1,Aerodinámica – AoA (banco)
162,Aerodinámica Básica,¿Por qué se produce la pérdida aerodinámica (stall)?,"[""Por aumento de velocidad del aire en el intrados."", ""Por acercarse a velocidad subsónica."", ""Por exceder el ángulo de ataque.""]",2,Aerodinámica – Stall (banco)
163,Aerodinámica Básica,¿Cuál de las siguientes corresponde a superficies hipersustentadoras?,"[""Alas rotatorias."", ""Spoilers."", ""Flaps.""]",2,Aerodinámica – High-lift (banco)
164,Aerodinámica Básica,¿Cómo influye la temperatura en el vuelo de un UA a presión constante?,"[""A mayor temperatura, más difícil volar, menos tiempo de vuelo."", ""A menor temperatura, más difícil volar, menos tiempo."", ""A menor temperatura, más fácil volar, menos tiempo.""]",0,Aerodinámica – Densidad (banco)
165,Aerodinámica Básica,¿Cómo se contrarresta el torque de las hélices en un multirrotor?,"[""Todas las hélices giran en el mismo sentido."", ""Un solo motor no se ve afectado."", ""Las hélices se contrarrestan por pares girando en sentidos contrarios.""]",2,Aerodinámica – Hélices (banco)
166,Aerodinámica Básica,¿Qué tipos de resistencia aerodinámica existen?,"[""Contorno, de superficie, de presión."", ""Inducida y parásita."", ""Parásita, inducida y de presión.""]",1,Aerodinámica – Drag (banco)
167,Aerodinámica Básica,"Entre los efectos aerodinámicos que ocurren en una superficie alar, ¿qué es la pérdida?","[""Pérdida de sustentación por disminución de densidad del aire."", ""Pérdida de sustentación por alto ángulo de ataque."", ""Pérdida de velocidad de la aeronave.""]",1,Aerodinámica – Stall (banco)
168,Aerodinámica Básica,¿Cuál de los siguientes elementos no es considerado una superficie sustentadora?,"[""Hélices."", ""\""Flaps\"" y \""slats\""."", ""Alerones.""]",0,Aerodinámica – Superficies
169,Meteorología Aeronáutica,¿Qué es la meteorología?,"[""Es el estudio de los fenómenos que ocurren en la atmósfera."", ""Es el estudio de las condiciones marítimas que influyen en el viento y la lluvia."", ""Es el comportamiento del tiempo y clima de un lugar específico.""]",0,RAC 203; Cáceres (banco)
170,Meteorología Aeronáutica,¿En cuáles campos se aplica la meteorología?,"[""Experimental, sinóptica, agrícola, marítima y aeronáutica."", ""Forestal, aerodinámica y agropecuaria."", ""Regional, local y oceánica.""]",0,RAC 203; Cáceres (banco)
171,Meteorología Aeronáutica,¿A qué se le conoce como clima?,"[""Descripción estadística de las condiciones meteorológicas más frecuentes de una región, en un determinado período de tiempo."", ""Variación diaria de las condiciones atmosféricas que se presentan en una región específica."", ""Variaciones del viento en cuanto a velocidad y dirección que se presentan en una región específica.""]",0,RAC 203; Cáceres (banco)
172,Meteorología Aeronáutica,¿A qué se le conoce como “tiempo meteorológico”?,"[""Descripción estadística de las condiciones meteorológicas más frecuentes en un periodo largo."", ""Variación diaria o a muy corto plazo de las condiciones atmosféricas en una región específica."", ""Variaciones del viento únicamente.""]",1,RAC 203; Cáceres (banco)
173,Meteorología Aeronáutica,¿Cuál es la diferencia entre tiempo meteorológico y clima?,"[""El tiempo es un estado instantáneo y cambiante; el clima se determina en periodos largos con condiciones predominantes."", ""No hay diferencia, son lo mismo.""]",0,RAC 203; Cáceres (banco)
174,Meteorología Aeronáutica,¿Qué aspectos determinan los parámetros del clima de un lugar?,"[""Latitud y orografía; posición geográfica relativa respecto a continentes y océanos."", ""Sólo la latitud."", ""Sólo la orografía.""]",0,RAC 203 (banco)
175,Meteorología Aeronáutica,¿Qué instrumentos se usan para observar tiempo meteorológico?,"[""Indicador de velocidad/dirección de viento, termómetros, sensor de humedad, sensor de presión ATM, ceilómetro."", ""Odómetro, tensiómetro, variómetro, horizonte artificial."", ""Manómetro y odómetro únicamente.""]",0,RAC 203 (banco)
176,Meteorología Aeronáutica,La observación meteorológica consiste en la medición de todos los elementos meteorológicos que representan el estado de la atmósfera. Este postulado es:,"[""Verdadero"", ""Falso""]",0,RAC 203 (banco)
177,Meteorología Aeronáutica,¿Qué es la atmósfera?,"[""Conjunto de gases y nubes que envuelven a la Tierra."", ""Manto de vapor de agua que rodea a la Tierra."", ""Ambas.""]",0,RAC 203 (banco)
178,Meteorología Aeronáutica,¿Cuál es la composición estándar del aire?,"[""Nitrógeno 78% - Oxígeno 21% - Otros gases 1%."", ""Nitrógeno 70% - Oxígeno 25% - Otros 5%."", ""Nitrógeno 80% - Oxígeno 19% - Otros 1%.""]",0,RAC 203 (banco)
179,Meteorología Aeronáutica,"Además de los elementos gaseosos del aire, ¿qué otras moléculas conforman la atmósfera?","[""Agua en sus tres estados."", ""Núcleos higroscópicos."", ""Sólo agua en estado gaseoso.""]",0,RAC 203 (banco)
180,Meteorología Aeronáutica,Las capas de la atmósfera según la composición química del aire son homósfera y heterósfera. Este postulado es:,"[""Verdadero"", ""Falso""]",0,RAC 203 (banco)
181,Meteorología Aeronáutica,¿Cuál de las siguientes es una característica de la troposfera?,"[""Disminución abrupta de la temperatura con el incremento de altitud."", ""Contiene toda la humedad de la atmósfera."", ""Tope promedio 6 millas.""]",0,RAC 203 (banco)
182,Meteorología Aeronáutica,La ionosfera contiene gran cantidad de iones importantes para procesos electromagnéticos. Este postulado es:,"[""Verdadero"", ""Falso""]",0,RAC 203; Anexo 10 (banco)
183,Meteorología Aeronáutica,¿Qué característica tiene la ionosfera?,"[""Permite la reflexión de las ondas largas de radio HF."", ""Permite la refracción de las ondas de radio HF."", ""Permite la difracción de las ondas de radio VHF.""]",0,Anexo 10 OACI (banco)
184,Meteorología Aeronáutica,¿Qué es el viento?,"[""Movimiento vertical de una masa de aire."", ""Movimiento horizontal de una masa de aire."", ""Movimiento sin importar el sentido.""]",1,RAC 203 (banco)
185,Meteorología Aeronáutica,Unidades para medir la velocidad del viento:,"[""m/s y km/h."", ""kt (nudos)."", ""Todas las anteriores.""]",2,RAC 203 (banco)
186,Meteorología Aeronáutica,El movimiento vertical del aire inducido por aumento de temperatura se denomina:,"[""Estratificación."", ""Convección."", ""Efecto Coriolis.""]",1,RAC 203 (banco)
187,Meteorología Aeronáutica,Vientos catabáticos son:,"[""Vientos que viajan de los picos hacia las faldas de las montañas."", ""Vientos que viajan de los valles hacia la cima."", ""Vientos que viajan por las costas.""]",0,RAC 203 (banco)
188,Meteorología Aeronáutica,El movimiento desordenado del aire originado por diferentes causas se conoce como:,"[""Turbulencia."", ""Viento geostrófico."", ""Corriente de chorro.""]",0,RAC 203 (banco)
189,Meteorología Aeronáutica,¿Qué es la turbulencia?,"[""Desplazamiento ordenado y laminar."", ""Desplazamiento desordenado con variaciones de dirección e intensidad."", ""Situación de desorden en general.""]",1,RAC 203 (banco)
190,Meteorología Aeronáutica,¿Por qué es peligrosa la turbulencia para la aviación no tripulada?,"[""Interrumpe el flujo laminar pudiendo causar desplome."", ""Porque no se puede ver a simple vista."", ""Ambas.""]",2,RAC 203 (banco)
191,Meteorología Aeronáutica,¿Qué es temperatura?,"[""Medida de la energía interna de un cuerpo."", ""Comparación entre sensación de frío y calor."", ""Concepto teórico basado en sensaciones.""]",0,RAC 203 (banco)
192,Meteorología Aeronáutica,El calor es la energía manifestada por el aumento de temperatura en un cuerpo. Este postulado es:,"[""Verdadero"", ""Falso""]",0,RAC 203 (banco)
193,Meteorología Aeronáutica,¿Qué es radiación solar?,"[""Energía emitida por el sol."", ""Crestas de fuego del sol."", ""Corona solar en eclipse.""]",0,RAC 203 (banco)
